24055868	-90	20936654	-90
24068450	-89	20947286	-91
24077815	-90	20958605	-82
24087901	-71	20967970	-67
24097265	-90	20977332	-90
24107334	-77	20987402	-69
24116697	-61	20996764	-66
24126061	-59	21006852	-65
24136126	-43	21016213	-50
24145487	-47	21026279	-45
24155554	-46	21035642	-45
24164916	-87	21045322	-85
24174982	-87	21055077	-90
24184349	-91	21064441	-89
24193714	-89	21074508	-90
24203805	-87	21083870	-89
24213168	-88	21093957	-90
24223236	-86	21103317	-86
24232599	-89	21112678	-90
24242667	-90	21122746	-91
24252029	-88	21132109	-88
24261710	-48	21142178	-49
24271463	-44	21151542	-49
24280823	-48	21160904	-43
24290909	-46	21170975	-50
24300272	-36	21180336	-47
24310337	-43	21190401	-46
24319700	-49	21199763	-52
24329061	-61	21209846	-90
24339127	-90	21219207	-90
24348491	-87	21229273	-88
24357856	-85	21238637	-91
24367925	-90	21248003	-89
24377287	-90	21258069	-89
24387354	-89	21267431	-90
24396717	-89	21277501	-91
24406800	-45	21286860	-48
24416162	-90	21296220	-90
24426227	-49	21306304	-50
24435588	-88	21315667	-83
24445654	-49	21325737	-45
24455018	-48	21335099	-51
24464378	-91	21344461	-90
24474444	-39	21354529	-48
24483805	-39	21363890	-48
24493890	-89	21373955	-89
24503252	-89	21383317	-90
24513318	-89	21393386	-91
24522682	-87	21402749	-84
24532045	-89	21412111	-91
24542246	-47	21422326	-52
24553264	-44	21434912	-46
24564192	-43	21444274	-50
24573556	-41	21453637	-51
24582917	-89	21463703	-86
24592983	-88	21473064	-89
24602348	-89	21483128	-90
24612413	-89	21492489	-90
24621776	-80	21501852	-91
24631860	-81	21511920	-91
24641225	-87	21521281	-89
24650904	-87	21531368	-90
24660658	-89	21540731	-90
24670018	-88	21550799	-89
24680087	-47	21560161	-51
24689448	-41	21569523	-51
24699520	-87	21579594	-87
24708883	-90	21588956	-90
24718243	-44	21599023	-45
24728327	-40	21608387	-47
24737691	-47	21618454	-58
24747758	-40	21627816	-53
24757123	-89	21637179	-90
24767187	-40	21647262	-51
24776551	-44	21656624	-48
24785914	-87	21666690	-92
24795981	-86	21676052	-89
24805343	-87	21686121	-88
24815407	-41	21695484	-51
24824768	-42	21704846	-43
24834850	-50	21714913	-52
24844213	-51	21724276	-47
24853575	-88	21734346	-91
24863641	-87	21743709	-90
24873001	-87	21753793	-89
24883066	-90	21763154	-91
24892427	-89	21772516	-90
24902495	-89	21782582	-91
24911856	-90	21791943	-91
24921216	-75	21802010	-83
24931304	-78	21811371	-81
