29323 -45
29827 -40
30348 -40
30884 -40
31829 -40
32789 -40
63410 -23
63913 -24
64811 -24
65559 -24
66302 -24
66826 -48
154205 -56
154708 -56
155212 -56
155716 -56
156615 -56
185281 -60
185784 -61
186288 -61
186792 -61
187691 -61
252294 -36
252798 -38
253302 -38
254461 -38
255201 -38
255705 -38
376040 -25
376543 -25
377048 -25
377552 -25
378056 -25
378974 -25
380967 -60
381471 -61
381975 -61
384383 -23
384886 -25
385408 -61
462536 -58
463040 -41
463956 -41
464945 -41
465449 -41
465953 -41
725694 -23
726218 -26
726721 -26
727225 -26
727728 -26
728849 -26
