0	-90
522	-89
1025	-89
1529	-90
2033	-87
2537	-90
3041	-89
3564	-87
4067	-89
4571	-89
5075	-90
5579	-89
6083	-90
7308	-90
7811	-91
8315	-88
8820	-88
9324	-89
9847	-89
10350	-88
10854	-88
11359	-89
11863	-89
12367	-90
12889	-90
13392	-89
13896	-90
15015	-90
15519	-89
16040	-90
16544	-89
17048	-89
17553	-89
18057	-89
18560	-87
19064	-84
19586	-90
20090	-85
20593	-90
21097	-89
21600	-90
22825	-91
23328	-91
23832	-90
24335	-89
24839	-89
25342	-90
25863	-89
26368	-91
26873	-88
27505	-89
28008	-88
28531	-90
29034	-90
30175	-89
30917	-90
31420	-90
31942	-91
32445	-88
33344	-90
34237	-85
35151	-89
36043	-87
36546	-90
37050	-90
38356	-89
38860	-90
39364	-89
39868	-89
40373	-90
41682	-89
42185	-88
42689	-90
43194	-90
43698	-89
44220	-88
44724	-89
45228	-89
45732	-89
46236	-89
46741	-85
47262	-85
47767	-89
48975	-90
49478	-87
49981	-89
50503	-90
51006	-91
51509	-89
52013	-90
52516	-85
53019	-89
53541	-88
54044	-88
54547	-89
55051	-88
56258	-89
56780	-89
57284	-88
57789	-88
58421	-90
58924	-90
59428	-90
59951	-88
60454	-90
60958	-89
61462	-89
61966	-87
62470	-90
63387	-89
64278	-87
64781	-88
66099	-71
66619	-73
67157	-73
68102	-73
69030	-73
69554	-89
70058	-89
70958	-88
71851	-89
72766	-90
73660	-86
74163	-89
74667	-91
75171	-90
75694	-89
76197	-90
76701	-85
77205	-90
77710	-89
78214	-89
78737	-89
79240	-89
79743	-88
80247	-89
81363	-89
81885	-90
82387	-88
82891	-89
83394	-91
83898	-87
84401	-89
84923	-90
85426	-91
85929	-89
86432	-88
86936	-89
87440	-88
88578	-87
89209	-88
89713	-90
90217	-89
90721	-90
91243	-90
91746	-89
92250	-89
92754	-90
93258	-89
93762	-89
94285	-88
94788	-88
95686	-89
96577	-90
97080	-88
98386	-89
98890	-88
99394	-89
100292	-87
101204	-88
101708	-90
102606	-88
103516	-89
104019	-89
104524	-90
105813	-89
106316	-87
106839	-87
107342	-90
107846	-90
108351	-89
108855	-89
109360	-87
109881	-83
110384	-89
110887	-89
111391	-90
111894	-88
112398	-90
112919	-90
114038	-87
114541	-89
115044	-90
115548	-90
116069	-89
116572	-90
117075	-90
117579	-89
118083	-90
118588	-90
119237	-86
119741	-90
120245	-87
121145	-87
122038	-90
122956	-84
123850	-90
124353	-85
124857	-90
126164	-86
126667	-90
127171	-88
128457	-87
128981	-89
129485	-86
129989	-89
130888	-89
131797	-87
132300	-91
132804	-89
133308	-88
133813	-88
134317	-86
134839	-90
135342	-89
135847	-91
136351	-87
136855	-89
137359	-87
137881	-83
139087	-87
139590	-90
140096	-89
140599	-90
141121	-89
141624	-89
142127	-86
142631	-83
143134	-87
143637	-88
144159	-90
144662	-89
145165	-88
146377	-86
146880	-91
147401	-89
147904	-84
148407	-89
148911	-90
149416	-90
150048	-90
150570	-89
151073	-89
151577	-90
152081	-87
152585	-81
153503	-88
154394	-90
155291	-89
